Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,isim_temiz_x,isim_temiz_fuzzy,isim_temiz_y,Piyasa_Degeri
1,Myenty Abena,srÂ SUR,DF,Gaziantep FK,31-142,1994,22,19,"1,746",19.Nis,1,1,2,1,0,0,2,1,0.05,0.05,0.10,0.05,0.10,Matches,myenty abena,myenty abena,myenty abena,600 bin €
4,Emmanuel Agbadou,ciÂ CIV,DF,Beşiktaş,28-320,1997,11,10,911,10.Oca,1,1,2,1,0,0,3,0,0.1,0.1,0.20,0.10,0.20,Matches,emmanuel agbadou,emmanuel agbadou,emmanuel agbadou,18.00 mil. €
5,Dan Agyei,ghÂ GHA,"MF,FW",Kocaelispor,28-336,1997,28,20,"1,874",20.AÄu,4,0,4,4,0,0,0,0,0.19,0.0,0.19,0.19,0.19,Matches,dan agyei,dan agyei,dan agyei,800 bin €
6,Youssef Aït Bennasser,maÂ MAR,"MF,DF",Kayserispor,29-300,1996,20,18,"1,378",15.Mar,0,0,0,0,0,0,7,0,0.0,0.0,0.00,0.00,0.00,Matches,youssef ait bennasser,youssef ait bennasser,youssef ait bennasser,1.00 mil. €
7,Samet Akaydın,trÂ TUR,DF,Rizespor,32-051,1994,28,28,"2,476",27.May,3,1,4,3,0,0,11,1,0.11,0.04,0.15,0.11,0.15,Matches,samet akaydın,samet akaydin,samet akaydin,1.20 mil. €
8,Emre Akbaba,trÂ TUR,"MF,FW",Eyüpspor,33-211,1992,21,10,983,10.Eyl,3,0,3,2,1,1,3,0,0.27,0.0,0.27,0.18,0.18,Matches,emre akbaba,emre akbaba,emre akbaba,500 bin €
11,Ümit Akdag,roÂ ROU,DF,Alanyaspor,22-209,2003,29,29,"2,531",28.Oca,1,2,3,1,0,0,7,0,0.04,0.07,0.11,0.04,0.11,Matches,umit akdag,umit akdag,umit akdag,4.00 mil. €
13,Yunus Akgün,trÂ TUR,MF,Galatasaray,25-300,2000,27,22,"1,723",19.Oca,7,9,16,7,0,0,1,0,0.37,0.47,0.84,0.37,0.84,Matches,yunus akgun,yunus akgun,yunus akgun,18.00 mil. €
16,Fatih Aksoy,trÂ TUR,"DF,MF",Alanyaspor,28-178,1997,17,8,750,8.Mar,0,0,0,0,0,0,3,0,0.0,0.0,0.00,0.00,0.00,Matches,fatih aksoy,fatih aksoy,fatih aksoy,1.20 mil. €
17,Kerem Aktürkoğlu,trÂ TUR,"MF,FW",Fenerbahçe,27-194,1998,27,22,"1,77",19.Tem,6,5,11,5,1,1,3,0,0.31,0.25,0.56,0.25,0.51,Matches,kerem akturkoglu,kerem akturkoglu,kerem akturkoglu,22.00 mil. €
