Player,Takim,Piyasa_Degeri,isim_temiz
Uğurcan Çakır,Galatasaray,15.00 mil. €,ugurcan cakır
Günay Güvenç,Galatasaray,300 bin €,gunay guvenc
Batuhan Şen,Galatasaray,200 bin €,batuhan sen
Enes Emre Büyük,Galatasaray,-,enes emre buyuk
Wilfried Singo,Galatasaray,25.00 mil. €,wilfried singo
Davinson Sánchez,Galatasaray,18.00 mil. €,davinson sanchez
Abdülkerim Bardakcı,Galatasaray,6.50 mil. €,abdulkerim bardakcı
Arda Ünyay,Galatasaray,1.00 mil. €,arda unyay
Metehan Baltacı,Galatasaray,-,metehan baltacı
Ismail Jakobs,Galatasaray,8.00 mil. €,ismail jakobs
Eren Elmalı,Galatasaray,5.00 mil. €,eren elmalı
Sacha Boey,Galatasaray,15.00 mil. €,sacha boey
Roland Sallai,Galatasaray,12.00 mil. €,roland sallai
Lucas Torreira,Galatasaray,12.00 mil. €,lucas torreira
Mario Lemina,Galatasaray,5.00 mil. €,mario lemina
Kaan Ayhan,Galatasaray,2.00 mil. €,kaan ayhan
Gabriel Sara,Galatasaray,22.00 mil. €,gabriel sara
Renato Nhaga,Galatasaray,6.00 mil. €,renato nhaga
İlkay Gündoğan,Galatasaray,2.50 mil. €,ilkay gundogan
Gökdeniz Gürpüz,Galatasaray,250 bin €,gokdeniz gurpuz
Barış Alper Yılmaz,Galatasaray,26.00 mil. €,barıs alper yılmaz
Noa Lang,Galatasaray,25.00 mil. €,noa lang
Ahmed Kutucu,Galatasaray,3.50 mil. €,ahmed kutucu
Leroy Sané,Galatasaray,22.00 mil. €,leroy sane
Yunus Akgün,Galatasaray,18.00 mil. €,yunus akgun
Yáser Asprilla,Galatasaray,14.00 mil. €,yaser asprilla
Armando Güner,Galatasaray,500 bin €,armando guner
Victor Osimhen,Galatasaray,75.00 mil. €,victor osimhen
Mauro Icardi,Galatasaray,5.00 mil. €,mauro icardi
Ederson,Fenerbahce,13.00 mil. €,ederson
Tarık Çetin,Fenerbahce,600 bin €,tarık cetin
Mert Günok,Fenerbahce,500 bin €,mert gunok
Engin Can Biterge,Fenerbahce,-,engin can biterge
Jayden Oosterwolde,Fenerbahce,18.00 mil. €,jayden oosterwolde
Milan Škriniar,Fenerbahce,11.00 mil. €,milan skriniar
Yiğit Efe Demir,Fenerbahce,5.00 mil. €,yigit efe demir
Çağlar Söyüncü,Fenerbahce,4.50 mil. €,caglar soyuncu
Kamil Efe Üregen,Fenerbahce,100 bin €,kamil efe uregen
Archie Brown,Fenerbahce,9.00 mil. €,archie brown
Levent Mercan,Fenerbahce,5.00 mil. €,levent mercan
Mert Müldür,Fenerbahce,7.00 mil. €,mert muldur
Nélson Semedo,Fenerbahce,7.00 mil. €,nelson semedo
Edson Álvarez,Fenerbahce,18.00 mil. €,edson alvarez
İsmail Yüksek,Fenerbahce,15.00 mil. €,ismail yuksek
N'Golo Kanté,Fenerbahce,4.50 mil. €,n'golo kante
Mattéo Guendouzi,Fenerbahce,28.00 mil. €,matteo guendouzi
Fred,Fenerbahce,6.00 mil. €,fred
Abdou Aziz Fall,Fenerbahce,100 bin €,abdou aziz fall
Marco Asensio,Fenerbahce,15.00 mil. €,marco asensio
Talisca,Fenerbahce,8.00 mil. €,talisca
Mert Hakan Yandaş,Fenerbahce,-,mert hakan yandas
Kerem Aktürkoğlu,Fenerbahce,22.00 mil. €,kerem akturkoglu
Oğuz Aydın,Fenerbahce,8.00 mil. €,oguz aydın
Dorgeles Nene,Fenerbahce,18.00 mil. €,dorgeles nene
Anthony Musaba,Fenerbahce,6.00 mil. €,anthony musaba
Emre Mor,Fenerbahce,600 bin €,emre mor
Sidiki Chérif,Fenerbahce,18.00 mil. €,sidiki cherif
André Onana,Trabzonspor,12.00 mil. €,andre onana
Onuralp Çevikkan,Trabzonspor,1.00 mil. €,onuralp cevikkan
Ahmet Yıldırım,Trabzonspor,-,ahmet yıldırım
Erol Can Çolak,Trabzonspor,-,erol can colak
Arseniy Batagov,Trabzonspor,11.00 mil. €,arseniy batagov
Chibuike Nwaiwu,Trabzonspor,7.00 mil. €,chibuike nwaiwu
Stefan Savic,Trabzonspor,500 bin €,stefan savic
Arda Öztürk,Trabzonspor,100 bin €,arda ozturk
Taha Emre İnce,Trabzonspor,100 bin €,taha emre ince
Mathias Løvik,Trabzonspor,4.00 mil. €,mathias løvik
Mustafa Eskihellaç,Trabzonspor,3.50 mil. €,mustafa eskihellac
Wagner Pina,Trabzonspor,8.00 mil. €,wagner pina
Okay Yokuşlu,Trabzonspor,1.50 mil. €,okay yokuslu
Salih Malkoçoğlu,Trabzonspor,1.00 mil. €,salih malkocoglu
Christ Inao Oulaï,Trabzonspor,17.00 mil. €,christ inao oulai
Tim Jabol-Folcarelli,Trabzonspor,6.00 mil. €,tim jabol-folcarelli
Benjamin Bouchouari,Trabzonspor,5.00 mil. €,benjamin bouchouari
Ozan Tufan,Trabzonspor,1.50 mil. €,ozan tufan
Boran Başkan,Trabzonspor,100 bin €,boran baskan
Ernest Muci,Trabzonspor,11.00 mil. €,ernest muci
Anthony Nwakaeme,Trabzonspor,200 bin €,anthony nwakaeme
Oleksandr Zubkov,Trabzonspor,7.00 mil. €,oleksandr zubkov
Edin Visca,Trabzonspor,300 bin €,edin visca
